App,Function,Execution time improvement(%),Imblance,Latency(ns),QPI improve(%)
SP,CMLB,12.3,0.12,530.67,84.03
SP,EagerMap,10.7,0.50,577.04,85.35
SP,TreeMatch,9.5,0.58,579.41,85.23
SP,ChoiceMap,11.2,0.53,578.64,85.93
BT,CMLB,5.1,0.03,364.38,35.61
BT,EagerMap,3.97,0.27,378.46,31.89
BT,TreeMatch,3.92,0.28,402.41,23.34
BT,ChoiceMap,3.95,0.31,402.3,29.45
LU,CMLB,28.29,0.10,399.00,37.53
LU,EagerMap,27.26,0.51,408.41,38.23
LU,TreeMatch,26.07,0.40,429.96,36.21
LU,ChoiceMap,27.56,0.42,431.96,38.45
CG,CMLB,11.51,0.07,193.03,79.02
CG,EagerMap,11.41,0.06,194.63,78.11
CG,TreeMatch,11.61,0.08,193.25,81.01
CG,ChoiceMap,11.40,0.06,195.47,80.11
