App,Function,Execution time improvement(%),QPI,Imblance,Latency,Local_ratio(%),QPI(MB),Latency(ns),QPI improve(%)
SP,CMLB,12.3,16.07,0.12,88.85,93.31,135509,530.67,84.03
SP,Eagermap,10.7,15.91,0.50,99.46,95.01,111860,577.04,85.35
SP,Compact,10.2,12.11,0.58,100,94.68,111860,579.41,84.23
BT,CMLB,5.1,32.24,0.03,95.20,87.91,97140,364.38,45.61
BT,Eagermap,3.97,31.82,0.27,98.53,88.29,121649,378.46,31.89
BT,Compact,3.92,32.78,0.28,100,85.35,136918,402.41,23.34
LU,CMLB,28.29,67.07,0.10,96.48,74.36,181025,399.00,37.53
LU,Eagermap,25.26,61.66,0.51,100,71.77,135928,408.41,38.23
LU,Compact,24.07,68.12,0.40,98.60,66.91,140380,429.96,36.21
CG,CMLB,11.71,66.97,0.07,99.89,96.40,13254,193.03,79.02
CG,Eagermap,11.01,60.39,0.06,99.83,95.60,13756,194.63,78.11
CG,Compact,12.31,52.06,0.08,99.61,96.53,12735,193.25,81.01
