App,Function,Execution time improvement(%),Imblance,Local_ratio(%),QPI(MB),Latency(ns),QPI improve(%)
SP,CMLB,12.3,0.12,93.31,135509,530.67,84.03
SP,EagerMap,10.7,0.50,95.01,111860,577.04,85.35
SP,TreeMatch,9.5,0.58,94.68,111831,579.41,85.23
SP,ChoiceMap,11.2,0.53,94.68,111802,578.64,85.93
BT,CMLB,5.1,0.03,87.91,97140,364.38,35.61
BT,EagerMap,3.97,0.27,88.29,121649,378.46,31.89
BT,TreeMatch,3.92,0.28,85.35,136918,402.41,23.34
BT,ChoiceMap,3.95,0.31,85.35,136918,402.3,29.45
LU,CMLB,28.29,0.10,74.36,181025,399.00,37.53
LU,EagerMap,27.26,0.51,71.77,135928,408.41,38.23
LU,TreeMatch,26.07,0.40,66.91,140380,429.96,36.21
LU,ChoiceMap,27.56,0.42,66.91,140380,431.96,38.45
CG,CMLB,11.51,0.07,96.40,13254,193.03,79.02
CG,EagerMap,11.41,0.06,95.60,13756,194.63,78.11
CG,TreeMatch,11.61,0.08,96.53,12735,193.25,81.01
CG,ChoiceMap,11.40,0.06,96.53,12735,195.47,80.11
