,,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT0,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,SKT1,System,System,System
Date,Time,Ch0Read,Ch0Write,Ch1Read,Ch1Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Ch4Read,Ch4Write,Ch5Read,Ch5Write,Mem Read (MB/s),Mem Write (MB/s),P. Write (T/s),Memory (MB/s),Read,Write,Memory
2021-2-24,4:23:16,   10.89,    8.61,    3.87,    1.66,   14.76,   10.28,    104097,   25.04,   11.04,   10.40,    4.01,    3.42,   15.05,   13.82,    104097,   28.88,     29.82,     24.10,     53.92
2021-2-24,4:23:17,   26.26,   22.72,   18.51,   15.25,   44.77,   37.97,    104230,   82.74,   22.72,   15.01,   16.00,    8.31,   38.72,   23.32,    104224,   62.04,     83.49,     61.29,    144.78
2021-2-24,4:23:18,   11.03,    8.73,    4.02,    1.84,   15.05,   10.58,    104100,   25.63,   10.92,   10.45,    3.90,    3.50,   14.82,   13.94,    104103,   28.76,     29.87,     24.52,     54.39
2021-2-24,4:23:19,   13.65,   11.87,    6.55,    4.95,   20.20,   16.82,    104106,   37.02,   13.25,   10.97,    6.21,    4.00,   19.47,   14.97,    104100,   34.44,     39.66,     31.79,     71.46
2021-2-24,4:23:20,   21.06,   17.15,   13.66,   10.10,   34.72,   27.25,    104112,   61.98,   18.59,   12.20,   11.29,    5.13,   29.88,   17.33,    104096,   47.21,     64.60,     44.59,    109.19
2021-2-24,4:23:21,   11.88,    9.20,    4.78,    2.25,   16.66,   11.44,    104100,   28.11,   12.23,   11.10,    5.16,    4.12,   17.39,   15.22,    104104,   32.60,     34.05,     26.66,     60.71
2021-2-24,4:23:22, 1740.12, 1400.22, 1730.49, 1391.29, 3470.61, 2791.51,    295847, 6262.12, 1769.96, 1422.31, 1758.98, 1411.49, 3528.93, 2833.80,    291872, 6362.73,   6999.54,   5625.31,  12624.85
2021-2-24,4:23:23, 2548.70, 1975.52, 2536.92, 1964.41, 5085.62, 3939.94,    388950, 9025.56, 2581.60, 1989.63, 2568.28, 1975.95, 5149.88, 3965.58,    381930, 9115.46,  10235.50,   7905.51,  18141.02
2021-2-24,4:23:24, 2792.77, 2164.82, 2781.19, 2154.20, 5573.96, 4319.02,    419612, 9892.98, 2818.10, 2185.48, 2803.94, 2171.78, 5622.04, 4357.26,    408999, 9979.31,  11196.00,   8676.29,  19872.29
2021-2-24,4:23:25, 2671.66, 2075.00, 2659.74, 2063.81, 5331.40, 4138.81,    401632, 9470.21, 2696.02, 2097.26, 2681.84, 2083.35, 5377.87, 4180.61,    389374, 9558.48,  10709.27,   8319.42,  19028.69
2021-2-24,4:23:26, 2316.27, 1800.10, 2304.32, 1788.72, 4620.59, 3588.82,    356815, 8209.41, 2352.80, 1812.07, 2340.10, 1799.13, 4692.90, 3611.20,    352224, 8304.10,   9313.49,   7200.01,  16513.51
2021-2-24,4:23:27, 2786.84, 2162.40, 2775.14, 2151.50, 5561.98, 4313.89,    414204, 9875.87, 2813.51, 2183.51, 2799.61, 2169.66, 5613.12, 4353.16,    406076, 9966.29,  11175.10,   8667.05,  19842.15
2021-2-24,4:23:28, 2726.28, 2111.52, 2714.51, 2100.49, 5440.79, 4212.01,    409473, 9652.80, 2748.59, 2130.82, 2734.42, 2116.67, 5483.01, 4247.49,    396951, 9730.50,  10923.80,   8459.50,  19383.30
2021-2-24,4:23:29, 2535.97, 1967.03, 2524.09, 1955.93, 5060.06, 3922.96,    385575, 8983.02, 2566.91, 1984.04, 2553.32, 1970.40, 5120.23, 3954.44,    378272, 9074.67,  10180.29,   7877.40,  18057.68
2021-2-24,4:23:30, 2602.91, 2020.07, 2591.26, 2009.16, 5194.16, 4029.23,    391190, 9223.39, 2634.32, 2037.32, 2620.65, 2023.38, 5254.97, 4060.70,    383513, 9315.67,  10449.13,   8089.93,  18539.06
2021-2-24,4:23:31, 2683.57, 2081.95, 2672.01, 2071.08, 5355.58, 4153.04,    406746, 9508.62, 2705.04, 2099.69, 2691.18, 2085.70, 5396.22, 4185.40,    392882, 9581.62,  10751.80,   8338.43,  19090.24
2021-2-24,4:23:32, 2835.43, 2198.03, 2823.64, 2187.10, 5659.07, 4385.13,    418627,10044.20, 2864.01, 2219.85, 2849.89, 2206.00, 5713.90, 4425.85,    408100,10139.75,  11372.98,   8810.98,  20183.95
2021-2-24,4:23:33, 2428.72, 1883.80, 2416.06, 1871.96, 4844.78, 3755.76,    372083, 8600.54, 2463.15, 1894.99, 2449.49, 1880.79, 4912.64, 3775.78,    364241, 8688.42,   9757.42,   7531.54,  17288.96
2021-2-24,4:23:34, 2685.03, 2087.15, 2673.82, 2076.62, 5358.85, 4163.78,    404055, 9522.62, 2713.81, 2109.54, 2700.30, 2095.73, 5414.11, 4205.27,    397735, 9619.38,  10772.96,   8369.04,  19142.00
