Core,IPC,Instructions,Cycles,Local DRAM accesses,Remote DRAM accesses,
0,1.11,74409048,67020941,62181,40789,
1,0.72,3278629,4551254,2939,2554,
2,0.71,4487841,6284922,11236,2758,
3,0.73,1625037,2230025,7679,1625,
4,0.35,337081,951529,950,566,
5,0.44,290850,667951,617,229,
6,0.44,368064,832909,1477,331,
7,0.36,328153,913860,741,797,
8,0.66,4089853,6160784,3872,879,
9,0.48,344129,721215,582,297,
10,0.60,750970,1260530,302,51,
11,0.45,238043,524835,253,134,
12,0.42,255885,609615,228,439,
13,0.50,346963,699469,337,155,
14,0.46,221176,477650,271,140,
15,0.37,151174,406206,301,54,
16,0.40,366084,916828,576,351,
17,0.55,1165897,2111826,5925,1398,
18,0.42,442024,1044769,1269,148,
19,0.73,2666457,3652369,1725,484,
20,0.89,41910323,47287017,255711,3778,
21,0.55,1663740,2999481,6750,4207,
22,0.74,4727911,6377865,10302,5279,
23,1.04,11454890,11060191,10498,10290,
24,0.42,159489,376085,121,50,
25,0.44,175113,399940,253,210,
26,1.11,1797652,1625913,20910,122,
27,0.76,1844570,2438524,547,544,
28,0.37,114099,311255,130,72,
29,0.80,1911035,2379667,431,112,
30,0.90,4987708,5513830,581,519,
31,0.41,327627,792389,212,38,
*,0.91,167237515,183601644,409907,79400,

Core,IPC,Instructions,Cycles,Local DRAM accesses,Remote DRAM accesses,
0,0.46,1997225,4357553,5527,4177,
1,0.39,186029,475362,425,231,
2,0.74,1936923,2634927,5609,1003,
3,0.34,381496,1132615,2109,1177,
4,0.87,65101552,74869626,56957,41078,
5,0.26,143795,549753,372,307,
6,0.39,225103,579375,926,187,
7,0.43,308613,711246,435,209,
8,0.72,3295423,4587464,2140,276,
9,0.43,206538,478700,350,501,
10,0.61,682513,1123376,324,129,
11,0.48,241480,505044,287,116,
12,0.29,178587,618067,253,106,
13,0.46,130006,285588,102,27,
14,0.36,153333,422796,909,274,
15,0.43,99662,233890,83,56,
16,1.20,73766548,61554700,34409,22981,
17,0.70,3966749,5661982,5898,3272,
18,0.67,2543402,3819075,1747,739,
19,0.70,2544133,3616988,1075,396,
20,0.80,4311204,5392296,2553,1455,
21,0.63,1516302,2423027,3328,1382,
22,0.81,4528767,5568044,4558,2905,
23,0.78,7380055,9419998,3607,6782,
24,0.47,187237,394232,143,60,
25,0.47,171013,365721,299,87,
26,1.51,1838575,1213655,275,69,
27,0.78,1956663,2493579,421,109,
28,0.45,100513,222117,87,62,
29,0.75,1918322,2550750,634,166,
30,0.92,4157645,4524867,899,837,
31,0.39,356527,922706,300,85,
*,0.92,186511933,203709119,137041,91241,

Core,IPC,Instructions,Cycles,Local DRAM accesses,Remote DRAM accesses,
0,1.15,153103788,132986892,79206,47615,
1,0.72,2778415,3862402,787,1911,
2,0.92,22394552,24325584,12517,3790,
3,0.81,17783656,22038610,7165,5807,
4,0.88,37053956,42166676,44569,33238,
5,1.09,38152745,35038905,15833,10781,
6,0.74,5751809,7776683,8149,3153,
7,0.46,921678,2010840,1628,1550,
8,1.01,47164856,46579004,23768,26200,
9,0.72,5004592,6923215,3659,1623,
10,0.51,622632,1212009,1518,785,
11,0.70,2995421,4251293,2740,841,
12,0.36,120828,338487,402,174,
13,0.44,274412,619432,457,218,
14,0.37,141081,382488,402,146,
15,0.31,114576,365639,448,139,
16,1.09,137085800,126093546,62019,42790,
17,0.90,39885344,44229067,10461,7974,
18,0.87,12041571,13896630,4676,1389,
19,0.70,2964059,4262543,2104,686,
20,0.74,6027965,8153911,5813,1194,
21,0.34,160085,467982,549,978,
22,0.79,16656967,21111005,7752,2815,
23,1.14,86901322,76256172,56805,46891,
24,0.35,181836,516508,779,213,
25,0.39,170002,437938,494,239,
26,0.97,22074246,22645000,49653,11764,
27,0.75,3725180,4999853,3191,937,
28,1.08,14999386,13891908,6989,1925,
29,0.84,9824513,11655120,8805,1972,
30,1.23,37407768,30324761,28988,25110,
31,0.90,14382452,16045308,4925,1771,
*,1.02,738867493,725865411,457251,286619,

Core,IPC,Instructions,Cycles,Local DRAM accesses,Remote DRAM accesses,
0,0.54,1408472,2621958,2534,1992,
1,0.42,329260,782289,954,2080,
2,0.76,1998960,2636143,3282,803,
3,0.42,456801,1096032,856,936,
4,0.88,47076898,53799993,43403,30097,
5,1.20,36895238,30635898,10153,7134,
6,0.75,3938247,5250990,3715,3211,
7,0.65,2404242,3699322,3081,3503,
